"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1548,2010,"September","Sunday","Evening",0,0,"Kingsview Village-The Westway",-79.5544643629,43.6937840843
1549,2010,"September","Monday","Evening",0,1,"Humbermede",-79.557622987,43.7487902835
1550,2010,"September","Tuesday","Evening",0,0,"Malvern East",-79.2111983853,43.8118543193
1552,2010,"September","Friday","Afternoon",0,1,"Yorkdale-Glen Park",-79.4481784199,43.7191307567
1553,2010,"September","Friday","Afternoon",0,0,"Regent Park",-79.3622545595,43.6582537974
1556,2010,"September","Tuesday","Evening",0,1,"Kensington-Chinatown",-79.3983260358,43.6539415941
1558,2010,"September","Tuesday","Evening",0,0,"Englemount-Lawrence",-79.4383375658,43.7173519585
1559,2010,"September","Wednesday","Evening",2,0,"Weston",-79.5113086557,43.6983790656
1561,2010,"October","Friday","Afternoon",0,1,"Rockcliffe-Smythe",-79.4961242955,43.6772426143
1562,2010,"October","Saturday","Evening",0,0,"Black Creek",-79.5098431192,43.7634269884
1563,2010,"October","Saturday","Night",0,0,"Regent Park",-79.3630013598,43.6600896992
1564,2010,"October","Sunday","Evening",0,1,"Kensington-Chinatown",-79.4029531323,43.64993619
1565,2010,"October","Monday","Evening",1,0,"Black Creek",-79.5154576133,43.757882085
1567,2010,"October","Wednesday","Evening",0,2,"Englemount-Lawrence",-79.444952838,43.7229488555
1569,2010,"October","Saturday","Night",2,0,"Regent Park",-79.3590771629,43.6603445994
1578,2010,"October","Friday","Night",0,1,"West Humber-Clairville",-79.5994437679,43.7309796695
1579,2010,"October","Monday","Night",1,0,"Regent Park",-79.3619995594,43.6576102967
1580,2010,"October","Tuesday","Evening",0,0,"Englemount-Lawrence",-79.4408745553,43.7208448566
1581,2010,"October","Tuesday","Evening",0,0,"Flemingdon Park",-79.3280755342,43.7156249646
1582,2010,"October","Tuesday","Evening",0,0,"NSA",0,0
1583,2010,"October","Saturday","Evening",0,1,"Oakdale-Beverley Heights",-79.5085819557,43.7300469721
1584,2010,"October","Sunday","Night",0,1,"Kingsview Village-The Westway",-79.5467219582,43.6970464776
1585,2010,"October","Sunday","Evening",0,0,"Rustic",-79.5047096437,43.7157375464
